Date_Curr,rate_date,currency,usd_rate
46082INR,01-03-2026,INR,0.0119
46082EUR,01-03-2026,EUR,1.08
46082USD,01-03-2026,USD,1
46083INR,02-03-2026,INR,0.012
46083EUR,02-03-2026,EUR,1.09
46083USD,02-03-2026,USD,1
46084INR,03-03-2026,INR,0.0121
46084EUR,03-03-2026,EUR,1.08
46084USD,03-03-2026,USD,1
46085INR,04-03-2026,INR,0.012
46085EUR,04-03-2026,EUR,1.07
46085USD,04-03-2026,USD,1
46086INR,05-03-2026,INR,0.0118
46086EUR,05-03-2026,EUR,1.09
46086USD,05-03-2026,USD,1
46087INR,06-03-2026,INR,0.0119
46087EUR,06-03-2026,EUR,1.08
46087USD,06-03-2026,USD,1
